id,name,description,cover,rating,release_date,created_at,updated_at
18,Harry Potter and the Sorcerer's Stone,"An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.","https://m.media-amazon.com/images/M/MV5BNTU1MzgyMDMtMzBlZS00YzczLThmYWEtMjU3YmFlOWEyMjE1XkEyXkFqcGc@._V1_QL75_UY281_CR1,0,190,281_.jpg",7.7,2001-11-16,2025-06-07 02:19:13.691557,2025-06-07 02:19:13.691573
19,Fullmetal Alchemist: Brotherhood,Two brothers search for a Philosopher's Stone after an attempt to revive their deceased mother goes awry and leaves them in damaged physical forms.,"https://m.media-amazon.com/images/M/MV5BMzNiODA5NjYtYWExZS00OTc4LTg3N2ItYWYwYTUyYmM5MWViXkEyXkFqcGc@._V1_QL75_UY281_CR6,0,190,281_.jpg",9.1,2009-04-09,2025-06-07 02:19:49.479320,2025-06-07 02:19:49.479335
20,Nana,"Two ostensibly opposite women, both named Nana, become roommates in Tokyo and grow inseparable. However, their relationship is jeopardized as the harsh realities of adult life take shape.","https://m.media-amazon.com/images/M/MV5BYjRmOWJmMDgtYjBjMS00OTg1LWJmZTItZTY2MjJlODgxNmUwXkEyXkFqcGc@._V1_QL75_UY281_CR2,0,190,281_.jpg",8.5,2006-04-05,2025-06-07 02:20:36.813373,2025-06-07 02:20:36.813388
21,Nana,"A chance encounter between two girls of the same name, ""Nana,"" triggers a series of events and relationships.","https://m.media-amazon.com/images/M/MV5BMTZmOWQ0MGYtYjEyYi00NDVmLTg1MzgtNGY4ZDI5OWM5MDNlXkEyXkFqcGc@._V1_QL75_UY281_CR11,0,190,281_.jpg",7.0,2008-04-04,2025-06-07 02:21:14.619547,2025-06-07 02:21:14.619562
22,Baba,"The life of Emin Saruhanli, who has been at odds with his brother Mehmet Ali for years, will be told that suddenly changed with the plane crash.","https://m.media-amazon.com/images/M/MV5BMDg2NmU3ZDctYmQyYi00NGRjLTk3NjYtZTIwZjdkOTBhMTVjXkEyXkFqcGc@._V1_QL75_UY281_CR18,0,190,281_.jpg",6.2,2022-02-15,2025-06-07 02:22:34.426864,2025-06-07 02:22:34.426879
23,The Godfather,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,"https://m.media-amazon.com/images/M/MV5BNGEwYjgwOGQtYjg5ZS00Njc1LTk2ZGEtM2QwZWQ2NjdhZTE5XkEyXkFqcGc@._V1_QL75_UY281_CR4,0,190,281_.jpg",9.2,1972-03-24,2025-06-07 02:22:39.173576,2025-06-07 02:22:39.173591
24,The Godfather,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,"https://m.media-amazon.com/images/M/MV5BNGEwYjgwOGQtYjg5ZS00Njc1LTk2ZGEtM2QwZWQ2NjdhZTE5XkEyXkFqcGc@._V1_QL75_UY281_CR4,0,190,281_.jpg",9.2,1972-03-24,2025-06-07 02:22:45.476609,2025-06-07 02:22:45.476625
25,Fullmetal Alchemist,Two alchemist brothers go on a quest for the Philosopher's Stone after an attempt to revive their dead mother goes horribly wrong.,"https://m.media-amazon.com/images/M/MV5BOTkxYTQwMmMtYWNiZC00MGFiLWIzOWYtNjZhZTIwNjU4Njk2XkEyXkFqcGc@._V1_QL75_UY281_CR5,0,190,281_.jpg",5.3,2017-12-01,2025-06-07 02:23:21.461402,2025-06-07 02:23:21.461415
26,The Dark Knight,"When a menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness.","https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_QL75_UX190_CR0,0,190,281_.jpg",9.0,2008-07-18,2025-06-07 02:24:23.742518,2025-06-07 02:24:23.742532
27,Fullmetal Alchemist: Brotherhood,Two brothers search for a Philosopher's Stone after an attempt to revive their deceased mother goes awry and leaves them in damaged physical forms.,"https://m.media-amazon.com/images/M/MV5BMzNiODA5NjYtYWExZS00OTc4LTg3N2ItYWYwYTUyYmM5MWViXkEyXkFqcGc@._V1_QL75_UY281_CR6,0,190,281_.jpg",9.1,2009-04-09,2025-06-07 02:26:19.676441,2025-06-07 02:26:19.676457
28,Fullmetal Alchemist: Brotherhood,Two brothers search for a Philosopher's Stone after an attempt to revive their deceased mother goes awry and leaves them in damaged physical forms.,"https://m.media-amazon.com/images/M/MV5BMzNiODA5NjYtYWExZS00OTc4LTg3N2ItYWYwYTUyYmM5MWViXkEyXkFqcGc@._V1_QL75_UY281_CR6,0,190,281_.jpg",9.1,2009-04-09,2025-06-07 02:26:55.310868,2025-06-07 02:26:55.310882
29,The Man Who Copied,A Brazilian photocopier operator falls in love with a girl who lives in an opposite house and spends his evenings looking at her through his binoculars.,"https://m.media-amazon.com/images/M/MV5BMTcwOTExNzg0MV5BMl5BanBnXkFtZTcwMDI3ODgyMQ@@._V1_QL75_UX190_CR0,9,190,281_.jpg",7.6,2003-06-13,2025-06-07 02:27:59.303449,2025-06-07 02:27:59.303465
30,The Godfather Part II,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.","https://m.media-amazon.com/images/M/MV5BMDIxMzBlZDktZjMxNy00ZGI4LTgxNDEtYWRlNzRjMjJmOGQ1XkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg",9.0,1974-12-18,2025-06-07 02:28:36.524434,2025-06-07 02:28:36.524449
